node_1	node_2	r_bg	r_new	X13_22N_H_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1399	OTU_9369	0.632476006567843	0.639549592384451	0.00707358581660833	0.27116582779052	0.786263494111509	0.999999993941542	gained	FALSE	FALSE
OTU_1446	OTU_9369	0.631273687175098	0.640554753116856	0.00928106594175793	0.354890793244461	0.722671406057055	0.999999993941542	gained	FALSE	FALSE
OTU_1974	OTU_9369	0.66255321817386	0.6232161856367	-0.0393370325371605	-1.6126814274261	0.106813737587142	0.624926748089553	lost	FALSE	FALSE
OTU_2102	OTU_9369	0.764869815987871	0.76892765522395	0.00405783923607983	0.224906296327856	0.822052171013276	0.999999993941542	gained	FALSE	FALSE
OTU_3180	OTU_9369	0.615940952517072	0.615599183731617	-0.000341768785455554	-0.0126659200770566	0.989894328124173	0.999999993941542	lost	FALSE	FALSE
OTU_3439	OTU_9369	0.605828559591646	0.617009246102146	0.0111806865104995	0.406267400003616	0.684546135858712	0.999999993941542	gained	FALSE	FALSE
OTU_4130	OTU_9369	0.600763493708219	0.608743250378109	0.00797975666989026	0.287183885188746	0.773971524612887	0.999999993941542	gained	FALSE	FALSE
OTU_5405	OTU_9369	0.636964955656053	0.647061534943578	0.0100965792875251	0.390763655658648	0.695971941787791	0.999999993941542	gained	FALSE	FALSE
OTU_6657	OTU_9369	0.601779053367112	0.544659124969294	-0.0571199283978181	-2.05962796502397	0.0394341206776429	0.34916643931811	lost	FALSE	FALSE
OTU_6961	OTU_9369	0.756412587516652	0.762676704547548	0.00626411703089569	0.336749000959554	0.73630612108465	0.999999993941542	gained	FALSE	FALSE
OTU_2711	OTU_9373	0.826818103761226	0.826759957117239	-5.8146643986623e-05	-0.00422721846014416	0.996627177700551	0.999999993941542	lost	FALSE	FALSE
OTU_3053	OTU_9373	0.712714387564116	0.698307923195655	-0.014406464368461	-0.67342063947471	0.500679721597855	0.999999993941542	lost	FALSE	FALSE
OTU_313	OTU_9373	0.629296778600418	0.621860174472441	-0.00743660412797764	-0.283188713460699	0.777032179742714	0.999999993941542	lost	FALSE	FALSE
OTU_3182	OTU_9373	0.707104187435604	0.710222876975462	0.0031186895398575	0.143458666388811	0.885927952977855	0.999999993941542	gained	FALSE	FALSE
OTU_4032	OTU_9373	0.631148763820488	0.635314544598221	0.00416578077773222	0.159249997087728	0.873471914448043	0.999999993941542	gained	FALSE	FALSE
