	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_186	0.390863873131589	0.10814695656539	0.252704985696897	0.180198959182694	0	0.65716314266315	0.510608827829684	0.177788353637867	2.9485110811373	3.54685374394766	0.939781822592215	0.124711579804547	0	0	0.53932103659719	0.176929928421781
OTU_1383	0	0	0	0	0.228616728853595	0	0.634484676420635	0	0.088958283425953	0.33271563505281	0	0	0	0.193555273644589	0.0732014373771567	0.104997253316969
OTU_1477	0.596070159975427	0	0.380086475416833	0.0943048770775335	0	0	0.902262271183901	0.292326470637602	0.541443480941446	0.835843157786818	0.270525112177957	0.299059883597878	0	0.522553163530281	0.169601989203098	0.165120502758603
OTU_163	0.332997066204564	1.93898050944635	0.808229037753712	0.444602478312126	0.151982070678415	0.209747509075616	1.26509577188299	0.343395922439973	6.47888224202284	1.45201893497722	3.84149562680456	0	0.299093649883001	0.0885724765494558	2.57845577215495	1.41588993995923
OTU_1307	0	0	0.137506898985304	0.256435731692999	0	0.0872279187279757	0	0	0	0	0.785262482456265	0.450062739734159	0	0	0	0
OTU_1771	0.150871325056164	0.251508543358894	0.0923195101608471	0	0	0	0	0	0.0762504079591938	0	0	0	0	0.187680916632749	0	0
OTU_1324	0	0.792008502277235	0	0	0	0.29276020513086	0.132924862904646	0	0.699225478260255	0.178188525447489	1.35787025547096	0	0	0	0	0
OTU_1003	0.147351315726474	0.180209834264158	0	0	0	0	0	0.127832913303715	0.0810054453850816	0.43880256700842	0	0.197318571356044	0	0	0	0
OTU_1822	0.234563705348683	0.137214786122556	1.02408173069271	0	1.03514967498219	0	0	0.138601928468324	0.165636663269867	0.791459395575777	0	0.951568095503783	0	0.216174341418181	0	0.118478172295663
OTU_128	0.266068927830796	0	0.144712133600692	0.0971540505016889	0.08051906474856	0.486052469746083	0.292103042867567	0.109115740856168	1.22109174177562	1.19244359835831	1.74369898013217	0	0	0	0.196427786835824	0.649092947954989
