node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1159	OTU_126	0	0	0	0	0	0	-0.0603145502437497	0	-0.347390054466756	-0.0549646683898105	0	-0.0730238992190289	0	0	-0.0489130112519897	-0.106735213330347
OTU_123	OTU_126	0	0.11927180939242	0	0	-0.105586284704368	0	0	0	0	0	-0.112900388403044	0	0	0	0	0
OTU_12	OTU_1256	0	0	-0.123346766749104	0	0	-0.159350005063445	0	0	0	0	0	0	0	0	0	-0.116644916387773
OTU_123	OTU_1256	-0.0957949702570275	0	0	0	0	-0.143013875297672	0	0	0	-0.0993752649758971	0	0	-0.123966303707738	0	-0.0841356254119176	-0.102134534793399
OTU_1063	OTU_1269	0	0	0	0	0	0	0	-0.112990231617665	0	-0.176222555133747	0	0	0	0	0	0
OTU_1106	OTU_1269	0	0	0	0	0	0	-0.13709003074	0	-0.129687383423452	-0.227882148830454	0	0	-0.109260792236419	0	0	0
OTU_1149	OTU_1269	0	0	0	0	0	0	0	0	0	0	0	0	-0.225841110135919	0	0	0
OTU_1216	OTU_1269	0	0	-0.0866287127755199	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	OTU_1261	0	0	-0.293699779926218	0	0	0	-0.123838850002394	0	0	0	0	0	0	0	0	0
OTU_123	OTU_1270	0	0.112415637272655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1014	OTU_1274	0	0	0	0	0	0	0	0	0	-0.0848907185451276	0	-0.111101337716785	0	0	0	0
OTU_101	OTU_1275	0	-0.0512123514148994	0	0	0	0	0	0	0	0	0	-0.114841689307947	0	0	0	0
OTU_1027	OTU_1275	0	0.087593430912802	0	0	0	0	0	0	0	0	0.0720794010452947	-0.119685312797193	0	0	0	0
OTU_106	OTU_1277	0	0	0	0	0	-0.123085629127715	0	0	0	-0.0871357388696781	0	0	0	-0.105369153935382	0	-0.167811469053459
OTU_104	OTU_128	-0.132165509906778	0	0	-0.0971540505016889	0	0	0	0	0	0.113336232191963	0	0	0	0	0	0
OTU_1116	OTU_1282	0	0	0	0	0	0	-0.117164146135687	0	0	0	0	0	0	0	0	0
OTU_12048	OTU_1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1225	OTU_1291	-0.150937803978247	0	-0.0910352442922119	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1218	OTU_1295	0	0.0976187974720458	-0.119902389712989	0	0	0	0	0	0	0	0	-0.117965264007072	0	0	0	-0.0816705082869511
OTU_107	OTU_130	0	0.0876913612941977	0	0	0	0	0	0	-0.179627568097529	0	0	0	0	0	0	0
OTU_1144	OTU_130	0	-0.101651061551399	0	0	0	-0.0780993903501121	-0.139724286132675	0	0	0	-0.0804013382201613	0	-0.0813385384268871	0	0	-0.123539462457576
OTU_1148	OTU_130	0	0	0	0	0	0	0	0	-0.175185276931632	0	0	0	0	0	0	0
OTU_116	OTU_130	0	0.0916218030450235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1159	OTU_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_126	OTU_130	0.0854757323806268	0.0765771636395684	0	0	0	0	0	0	-0.247355774171009	-0.0838576847550141	0	0	0	0	0	0.0892752411444677
OTU_1	OTU_13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1116	OTU_13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1191	OTU_13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1230	OTU_13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1094	OTU_13059	-0.155768161848015	-0.151544606226015	0	0	0	0	0	-0.16996643555723	0	0	0	0	0	0	0	0
OTU_12	OTU_13059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131850157667473
OTU_123	OTU_13059	0	0.0857675884648509	0	0	0	0	0	0	-0.0929382344654598	0	0	0	-0.0817336004338682	0	0	-0.107432187563078
OTU_10	OTU_1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1193	OTU_1312	0	0	-0.162134298700794	-0.116664086838274	0	-0.28003283211716	-0.20039865099742	-0.114807502941396	0	-0.157629888323343	0	0	-0.189387708718876	0	0	0
OTU_1103	OTU_1317	0	0	0	0	-0.0854754855034722	0	0	0	0	-0.0851932017482473	0	-0.125421236485747	0	0	-0.134618083145948	-0.0878153515892101
OTU_1261	OTU_1317	-0.141116229441892	0	0	0	-0.0893147255712269	0	0	-0.161012008834111	0	0	0	-0.158280122968481	0	0	0	0
OTU_1	OTU_1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1191	OTU_1320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1200	OTU_1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1255	OTU_1329	0	-0.39356620148298	0	0	0	0	-0.340573564767815	0	-0.416270062426989	-0.452479197559438	-0.323450013774087	0	0	0	-0.325253660813075	-0.343616334988087
OTU_104	OTU_133	-0.29818704236396	0	-0.314872964035287	-0.17418896232819	0	0	0	0	-0.371186990570135	0	0	0	0	0	0	0
OTU_107	OTU_133	0	0.0964492108043209	0	0	0	0	0.0654690601531863	0	0	0	0.0647902079883604	0	0	0	0	0
OTU_116	OTU_133	0	0.0634454731016673	0	0	0	0	-0.0766376928708431	0	0	0	0	0	0	0	0	0
OTU_1159	OTU_133	0	0	0	-0.128499353680488	0	0	0	0	-0.0902287233647106	0	0	-0.127864656333659	0	0	0	0
OTU_123	OTU_133	0	0.123271662338035	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_130	OTU_133	0.0726846882302392	0.0639639343541502	0	0	0	0	0	0	-0.0685569167467106	0	0	0	0	0	0	0
OTU_1329	OTU_133	0	-0.425375912740506	-0.188336874534828	0	-0.244591434721454	0	-0.342709260151692	0	-0.235842366218852	-0.205884695960759	-0.220373696205548	0	0	0	-0.243827990491704	-0.214852753561687
OTU_1164	OTU_13322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1	OTU_1335	0	0	0	0	0	0	0	-0.030876116811101	0	0	-0.0271377907365861	0	0	0	0	0
OTU_1116	OTU_1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1191	OTU_1335	-0.0936310524928536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1230	OTU_1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13031	OTU_1335	0	0	0	0	0	0	-0.0809394250838929	0	0	0	0	0	0	0	0	0
OTU_126	OTU_1337	0.112814997105677	0.136384857999209	0	-0.0873060269505301	0	0	-0.185114894423333	0	0.0803273834061116	0	0	0	0	0	0	0.0842627680959108
OTU_1191	OTU_1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	OTU_1342	-0.0902805083559203	-0.0781150589215618	-0.234291188041477	0	-0.288906790040223	-0.282266599138111	-0.0729645454130937	0	0	-0.347490957269932	-0.125321234900952	-0.103131988613115	0	0	0	-0.180283160442695
OTU_116	OTU_1342	0	-0.366170513855734	0	-0.236330824737388	0	-0.188746222807111	0	0	0	-0.132303621600851	-0.0670239914716223	0	0	0	0	-0.198210325388151
OTU_12	OTU_1342	0	-0.214105034628899	0	0	0	-0.289851033971603	0	0	0	-0.116479780919416	-0.082604406613864	0	0	0	0	-0.226653360814098
OTU_123	OTU_1342	0	-0.340482958224571	0	-0.109808194525341	-0.115420802612271	-0.264293678704615	0	0	-0.118892348114386	-0.199592287935568	0	0	0	0	0	-0.203280593205009
OTU_1258	OTU_1342	0	-0.266096780376017	0	0	0	-0.083589635551272	0	0	0	-0.131969524763819	0	-0.107322232477335	0	0	0	-0.0866033596371216
OTU_133	OTU_1342	0	-0.357155342519145	0	-0.225040579972323	-0.130726435395124	-0.202034258260184	-0.103065064614332	0	-0.186468519839469	-0.206049758615095	-0.157326109194559	-0.0779226267106088	0	0	0	-0.164850417976657
OTU_118	OTU_1344	0	0	-0.107723400894812	0	0	0	-0.102579907538391	0	0	0	0	0	0	0	0	0
OTU_1014	OTU_1346	0	0	0	0	0	0	0	0	-0.0822172095003704	0	0	0	0	0	0	0
OTU_115	OTU_1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1090	OTU_135	0	0	0	0	0	0	-0.142965107479706	0	-0.120468787138942	0	0	0	0	0	0	-0.107522390954911
OTU_1191	OTU_135	0	0	0	0	0	0	-0.122365131384089	0	-0.135104376416971	0	0	0	0	0	0	0
OTU_1339	OTU_135	0	0	0	0	0	0	0	0	-0.155177976981189	0	0	0	0	0	0	0
OTU_1121	OTU_1354	0	0	0	-0.076015702836512	0	0	0	0	0	0	0	0	0	-0.098946348437169	0	-0.0723626507381149
OTU_12048	OTU_1355	0	0	0	0	0	0	0	0	0	-0.123527014842853	0	0	-0.134908257965034	0	0	-0.0999270586013599
OTU_1130	OTU_136	0	-0.175654083755562	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.122994219764334
