node_1	node_2	r_bg	r_new	X13_18S_H_C_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_27	OTU_92	0.760482601258527	0.724077233671181	-0.0364053675873458	-1.98574945853068	0.0470611502752596	0.259295822106404	lost	FALSE	FALSE
OTU_2715	OTU_92	0.750532748597989	0.733045647067832	-0.0174871015301573	-0.92100478309619	0.357047929813197	0.897604114413377	lost	FALSE	FALSE
OTU_295	OTU_92	0.840827191517879	0.838018334712308	-0.00280885680557075	-0.220483216354623	0.82549484219137	0.999999973033941	lost	FALSE	FALSE
OTU_3171	OTU_92	0.646785005723202	0.645663460519741	-0.00112154520346097	-0.044347442866854	0.964627454910624	0.999999973033941	lost	FALSE	FALSE
OTU_33	OTU_92	0.831676919016981	0.827928172563981	-0.00374874645299983	-0.279654208313872	0.779742813459867	0.999999973033941	lost	FALSE	FALSE
OTU_3330	OTU_92	0.690142990701323	0.688581268667381	-0.00156172203394189	-0.0685877885418844	0.945317739307557	0.999999973033941	lost	FALSE	FALSE
OTU_352	OTU_92	0.600785973179091	0.596586949942179	-0.00419902323691124	-0.151125256695783	0.879876909349339	0.999999973033941	lost	FALSE	FALSE
OTU_37	OTU_92	0.760906146515256	0.714672211155847	-0.0462339353594097	-2.52571344725489	0.0115463617231057	0.090554278984435	lost	FALSE	FALSE
OTU_379	OTU_92	0.654459721242146	0.652105950175058	-0.00235377106708778	-0.0946972088075443	0.924555335064963	0.999999973033941	lost	FALSE	FALSE
OTU_39	OTU_92	0.658202331860565	0.653714984375366	-0.00448734748519952	-0.182100408543181	0.855503928122539	0.999999973033941	lost	FALSE	FALSE
OTU_40	OTU_92	0.795310941211121	0.794213142256623	-0.00109779895449869	-0.0687094294443949	0.945220912333479	0.999999973033941	lost	FALSE	FALSE
OTU_402	OTU_92	0.715087454836148	0.7142237387771	-0.000863716059048447	-0.0406537851737955	0.967571905199774	0.999999973033941	lost	FALSE	FALSE
OTU_413	OTU_92	0.707803010658536	0.693311062737101	-0.0144919479214357	-0.667945593328589	0.504168322412232	0.999999973033941	lost	FALSE	FALSE
OTU_487	OTU_92	0.755442587767291	0.755785428063618	0.000342840296327029	0.0183675925666205	0.98534560546502	0.999999973033941	gained	FALSE	FALSE
OTU_4871	OTU_92	0.696527487252101	0.695239067490912	-0.00128841976118954	-0.0575579015582681	0.954100783736872	0.999999973033941	lost	FALSE	FALSE
OTU_500	OTU_92	0.837139934800027	0.819698875040767	-0.0174410597592598	-1.34073783175661	0.180005586930022	0.629687519497933	lost	FALSE	FALSE
OTU_53	OTU_92	0.779023167077504	0.774798216514375	-0.00422495056312944	-0.247184434377549	0.804765491168729	0.999999973033941	lost	FALSE	FALSE
OTU_57	OTU_92	0.824999159901619	0.824006974870968	-0.000992185030651127	-0.071452545315694	0.94303759132372	0.999999973033941	lost	FALSE	FALSE
OTU_58996	OTU_92	0.812648251346032	0.811743106075122	-0.000905145270909902	-0.061302027045638	0.951118676491418	0.999999973033941	lost	FALSE	FALSE
OTU_59	OTU_92	0.796752144730334	0.780516299557047	-0.016235845173287	-1.02255951397311	0.306516160148383	0.837400403899657	lost	FALSE	FALSE
OTU_59413	OTU_92	0.810107049477874	0.808446809084013	-0.00166024039386126	-0.111092748047044	0.9115427993661	0.999999973033941	lost	FALSE	FALSE
OTU_625	OTU_92	0.747411261512597	0.746863896159185	-0.000547365353411933	-0.0285230541384952	0.977244980964171	0.999999973033941	lost	FALSE	FALSE
OTU_635	OTU_92	0.784396631186705	0.763718552946843	-0.0206780782398622	-1.23620664337732	0.216381761916098	0.699177370256002	lost	FALSE	FALSE
OTU_7022	OTU_92	0.661992151240259	0.591005211823421	-0.0709869394168379	-2.90636754124293	0.00365651673805458	0.0363595403439383	lost	FALSE	FALSE
OTU_721	OTU_92	0.656834631625324	0.64305253376123	-0.0137820978640943	-0.557520124567117	0.577172113171924	0.999999973033941	lost	FALSE	FALSE
OTU_731	OTU_92	0.681776581264898	0.681810189117554	3.36078526556038e-05	0.00144433575583799	0.998847587200477	0.999999973033941	gained	FALSE	FALSE
OTU_842	OTU_92	0.805778022018281	0.806038653272482	0.00026063125420106	0.0170919492360747	0.986363261554556	0.999999973033941	gained	FALSE	FALSE
OTU_87	OTU_92	0.855462841285569	0.841945760086936	-0.0135170811986332	-1.15925501722311	0.246352251527765	0.750115552399564	lost	FALSE	FALSE
OTU_248	OTU_915	0.634412295359183	0.628838399826647	-0.00557389553253596	-0.214552440456703	0.830116277342112	0.999999973033941	lost	FALSE	FALSE
OTU_169	OTU_922	0.623174553302744	0.359829392092355	-0.263345161210389	-9.90256565907426	4.05730359685501e-23	2.33516511551104e-20	lost	FALSE	FALSE
OTU_3078	OTU_9221	0.643985207407931	0.640787828112502	-0.00319737929542929	-0.125648134630231	0.900010458934779	0.999999973033941	lost	FALSE	FALSE
OTU_4331	OTU_9221	0.626492304240061	0.621333883704438	-0.00515842053562321	-0.195295849465421	0.84516134616128	0.999999973033941	lost	FALSE	FALSE
OTU_7016	OTU_9221	0.651900067653931	0.646170365816678	-0.00572970183725285	-0.229177590391859	0.81873088937133	0.999999973033941	lost	FALSE	FALSE
OTU_1038	OTU_925	0.693783007846515	0.508552840800982	-0.185230167045532	-8.21395835139913	2.14013838443194e-16	4.92114897075109e-14	lost	FALSE	FALSE
OTU_1138	OTU_925	0.608433259924209	0.570525236773851	-0.0379080231503587	-1.38436347600001	0.1662471866638	0.60068308892028	lost	FALSE	FALSE
