"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_1460",9,0.25,1291,0.000418044405730035,0.146618175050011,0.00160106435388865,6,0.115163350151082,0,"Peripherals"
"OTU_1466",7,0.333333333333333,94,0.000360139873603925,0.0100979438082828,0.00159829246907737,4,0.565615228259112,0,"Peripherals"
"OTU_1468",2,0,584,0.000297205504343604,0.00113474246908007,0.00107493049750638,1,0.577350269189626,0,"Peripherals"
"OTU_1469",5,0.3,608,0.000147671353253605,2.11410496486603e-14,0.00201594316259699,2,1.27644706567095,0,"Peripherals"
"OTU_147",4,0.333333333333333,138,0.000378452587627835,0.0561725648865604,0.000924702730692993,3,-0.755471576991095,0.375,"Peripherals"
"OTU_1477",5,0.6,2654,0.000360869934668363,0.00628253993721768,0.00123578479889227,4,0.073775899338145,0,"Peripherals"
"OTU_1481",1,0,0,0.09507781018835,8.65211400664538e-18,0.00080268445605685,1,-0.816496580927726,0,"Peripherals"
"OTU_1482",1,0,0,0.000313899929482401,0.00202946769366675,0.000522798250151071,1,-0.707106781186547,0,"Peripherals"
"OTU_1487",1,0,0,0.000352322420583266,0.00742476344510794,0.000351309824539985,1,-1.04568321937182,0,"Peripherals"
"OTU_1494",1,0,0,1.21556976698574,2.47735315262878e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_150",3,0.333333333333333,584,0.000232934339844292,1.12486802106372e-07,0.00133126434810038,2,0.257307200202485,0,"Peripherals"
"OTU_1501",1,0,0,1.20940243028046,2.34866810849314e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1505",8,0.392857142857143,389,0.000413883538506484,0.126506849692487,0.00139941011320923,5,-0.0299424710392811,0,"Peripherals"
"OTU_1509",1,0,0,0.407752924751245,5.91309959212931e-18,0.000947292644507653,1,-0.577350269189626,0,"Peripherals"
"OTU_1516",23,0.217391304347826,3033,0.000423751706042773,0.739908791116759,0.0037417940366153,7,1.31378970511417,0.499054820415879,"Peripherals"
"OTU_152",14,0.263736263736264,1968,0.00038804530558667,0.457280771878587,0.00236433852516534,6,0.406926014858372,0.520408163265306,"Peripherals"
